seed,severity,condition,mode,missing_count,missing_accuracy,macro_object_accuracy,worst_object_accuracy,missing_brier,missing_ece,cross_object_leakage_rate,outside_hallucination_rate
2,extreme,clean,present_only,345,0.5333333333333333,0.5332799159026899,0.5299145299145299,0.08327684733037792,0.02343763734768778,0,0
2,extreme,clean,global_scene_memory,345,0.4144927536231884,0.4124930455205685,0.3302752293577982,0.12613838714578512,0.2875905126603435,0.07290991713888512,0
2,extreme,clean,object_separated_memory,345,0.8057971014492754,0.8060663926826906,0.7647058823529411,0.05217330589711025,0.08617881575449078,0.027605421149524273,0
2,extreme,clean,object_contour_memory,345,0.8,0.8004162693855085,0.7563025210084033,0.0502254106083402,0.05756001358130171,0.024238938488551763,0
2,extreme,clean,shuffled_object_memory_control,345,0,0,0,0.2941713777074521,0.8311215659996583,0.9868823100183249,0
2,extreme,clean,oracle,345,1,1,1,0,0,0,0
2,extreme,corrupt,present_only,345,0.5333333333333333,0.5332799159026899,0.5299145299145299,0.08327684733037792,0.02343763734768778,0,0
2,extreme,corrupt,global_scene_memory,345,0.43478260869565216,0.4352980273109793,0.40336134453781514,0.12358958781231648,0.2351941019849121,0.13795193222074473,0
2,extreme,corrupt,object_separated_memory,345,0.6173913043478261,0.6177525977849777,0.5798319327731093,0.09021381623839865,0.13460549564665564,0.10769574344754973,0
2,extreme,corrupt,object_contour_memory,345,0.6202898550724638,0.6208107017605129,0.5798319327731093,0.08304393427419092,0.09523749225099537,0.1027091850094686,0
2,extreme,corrupt,shuffled_object_memory_control,345,0,0,0,0.2759228488721891,0.7423441648819955,0.9861104682559986,0
2,extreme,corrupt,oracle,345,1,1,1,0,0,0,0
3,standard,clean,present_only,152,0.4934210526315789,0.4950925925925926,0.4444444444444444,0.08405314526709844,0.0279342678175844,0,0
3,standard,clean,global_scene_memory,152,0.5921052631578947,0.5938888888888889,0.5,0.09757825763643119,0.2016537619823178,0.05770028793471576,0
3,standard,clean,object_separated_memory,152,0.7368421052631579,0.7379012345679014,0.7037037037037037,0.051557014216468106,0.07508496500460421,0.0325978090046797,0
3,standard,clean,object_contour_memory,152,0.743421052631579,0.7430246913580247,0.7083333333333334,0.050536664668352695,0.04363344546158373,0.02834296903914387,0
3,standard,clean,shuffled_object_memory_control,152,0,0,0,0.29282339101135374,0.8227687805585936,0.9851030551948717,0
3,standard,clean,oracle,152,1,1,1,0,0,0,0
3,standard,corrupt,present_only,152,0.4934210526315789,0.4950925925925926,0.4444444444444444,0.08405314526709844,0.0279342678175844,0,0
3,standard,corrupt,global_scene_memory,152,0.4934210526315789,0.49108024691358027,0.42,0.11330438531873632,0.2230907960546697,0.08563956004468441,0
3,standard,corrupt,object_separated_memory,152,0.6118421052631579,0.6117592592592592,0.6041666666666666,0.09685860261275772,0.21224142732462165,0.07375022914297898,0
3,standard,corrupt,object_contour_memory,152,0.618421052631579,0.6184259259259259,0.6041666666666666,0.08928146809397171,0.13594473702065957,0.07092383170240575,0
3,standard,corrupt,shuffled_object_memory_control,152,0,0,0,0.2826941699702767,0.7797028616657894,0.9853853816368607,0
3,standard,corrupt,oracle,152,1,1,1,0,0,0,0
3,hard,clean,present_only,248,0.4959677419354839,0.4962642126847472,0.48863636363636365,0.08381449053639717,0.03428594625963066,0,0
3,hard,clean,global_scene_memory,248,0.5483870967741935,0.5459233687081788,0.4444444444444444,0.09700307258858294,0.14214951749818183,0.06918084810849685,0
3,hard,clean,object_separated_memory,248,0.8185483870967742,0.8188021802649089,0.7901234567901234,0.04481729140746881,0.0511144490868724,0.03204566008079126,0
3,hard,clean,object_contour_memory,248,0.8266129032258065,0.8272409988303098,0.7901234567901234,0.04350967982146395,0.03126730362383578,0.02725800029039408,0
